营业流水号,结算流水号,客位名称,牌号,备注,桌号,就餐人数,应收金额,优惠金额,实收金额,操作pos,操作员,结算时间,开票标志,打印次数,hour
YY000101-251220-0103,JS000101-251220-0103,大厅.A08,,,,2,622.0,0.0,622.0,收银pos,001-收银,2025-12-20 21:01:35,否,0,21
YY000101-251220-0109,JS000101-251220-0109,外卖区域.WM客位204262,,,,1,75.2,0.0,75.2,收银pos,001-收银,2025-12-20 20:57:31,否,1,20
YY000101-251220-0108,JS000101-251220-0108,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-20 20:50:19,否,1,20
YY000101-251220-0107,JS000101-251220-0107,外卖区域.WM客位204262,,,,1,36.1,0.0,36.1,收银pos,001-收银,2025-12-20 20:43:27,否,1,20
YY000101-251220-0106,JS000101-251220-0106,外卖区域.WM客位204262,,,,1,46.7,0.0,46.7,收银pos,001-收银,2025-12-20 20:33:23,否,1,20
YY000101-251220-0105,JS000101-251220-0105,外卖区域.WM客位204262,,,,1,42.3,0.0,42.3,收银pos,001-收银,2025-12-20 20:28:12,否,1,20
YY000101-251220-0104,JS000101-251220-0104,外卖区域.WM客位204262,,,,1,68.7,0.0,68.7,收银pos,001-收银,2025-12-20 20:10:13,否,1,20
YY000101-251220-0095,JS000101-251220-0093,大厅.A03,,,,2,128.0,0.0,128.0,收银pos,001-收银,2025-12-20 20:00:10,否,0,20
YY000101-251220-0102,JS000101-251220-0102,外卖区域.WM客位204262,,,,1,45.7,0.0,45.7,收银pos,001-收银,2025-12-20 19:33:18,否,1,19
YY000101-251220-0093,JS000101-251220-0101,大厅.A09,,,,2,19.0,0.0,19.0,收银pos,001-收银,2025-12-20 19:33:13,否,0,19
YY000101-251220-0101,JS000101-251220-0100,大厅.A02,,,,1,26.0,0.0,26.0,收银pos,001-收银,2025-12-20 19:26:36,否,0,19
YY000101-251220-0100,JS000101-251220-0099,大厅.A01,,,,2,4.0,0.0,4.0,收银pos,001-收银,2025-12-20 19:14:09,否,0,19
YY000101-251220-0099,JS000101-251220-0098,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-20 19:11:52,否,1,19
YY000101-251220-0091,JS000101-251220-0090,大厅.A06,,,,2,223.0,0.0,223.0,收银pos,001-收银,2025-12-20 19:08:56,否,0,19
YY000101-251220-0098,JS000101-251220-0097,外卖区域.WM客位204262,,,,1,35.8,0.0,35.8,收银pos,001-收银,2025-12-20 19:08:16,否,1,19
YY000101-251220-0090,JS000101-251220-0089,大厅.A02,,,,2,215.0,0.0,215.0,收银pos,001-收银,2025-12-20 19:06:11,否,0,19
YY000101-251220-0097,JS000101-251220-0096,外卖区域.WM客位204262,,,,1,35.7,0.0,35.7,收银pos,001-收银,2025-12-20 19:00:18,否,1,19
YY000101-251220-0082,JS000101-251220-0083,大厅.A04,,,,2,278.0,0.0,278.0,收银pos,001-收银,2025-12-20 18:49:14,否,0,18
YY000101-251220-0084,JS000101-251220-0095,大厅.A08,,,,4,404.0,67.8,336.2,收银pos,001-收银,2025-12-20 18:49:03,否,0,18
YY000101-251220-0096,JS000101-251220-0094,外卖区域.WM客位204262,,,,1,27.8,0.0,27.8,收银pos,001-收银,2025-12-20 18:48:28,否,1,18
YY000101-251220-0094,JS000101-251220-0092,大厅.A11,,,,2,97.0,0.0,97.0,收银pos,001-收银,2025-12-20 18:46:44,否,0,18
YY000101-251220-0092,JS000101-251220-0091,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-20 18:30:24,否,1,18
YY000101-251220-0089,JS000101-251220-0088,大厅.A09,,,,2,178.0,0.0,178.0,收银pos,001-收银,2025-12-20 18:21:45,否,0,18
YY000101-251220-0088,JS000101-251220-0087,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-20 18:10:54,否,1,18
YY000101-251220-0087,JS000101-251220-0086,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-20 18:04:42,否,1,18
YY000101-251220-0086,JS000101-251220-0085,外卖区域.WM客位204262,,,,1,37.7,0.0,37.7,收银pos,001-收银,2025-12-20 17:44:37,否,1,17
